CLASS,COMID
"7",20216810.00000000000
"7",20216818.00000000000
"7",20216822.00000000000
"7",20216824.00000000000
"7",20216828.00000000000
"7",20216836.00000000000
"7",20216838.00000000000
"7",20216846.00000000000
"7",20216854.00000000000
"7",20216856.00000000000
"7",20216860.00000000000
"7",20216862.00000000000
"7",20216866.00000000000
"7",20216868.00000000000
"7",20216874.00000000000
"7",20216878.00000000000
"7",20216888.00000000000
"7",20216896.00000000000
"7",20216902.00000000000
"7",20216906.00000000000
"7",20216914.00000000000
"7",20216916.00000000000
"7",20216922.00000000000
"7",20216924.00000000000
"7",20216926.00000000000
"7",20216930.00000000000
"7",20216932.00000000000
"7",20216938.00000000000
"7",20216942.00000000000
"7",20216944.00000000000
"7",20216950.00000000000
"7",20216952.00000000000
"7",20216982.00000000000
"7",20216996.00000000000
"7",20216998.00000000000
"7",20217004.00000000000
"7",20217012.00000000000
"7",20217014.00000000000
"7",20217016.00000000000
"7",20217026.00000000000
"7",20217028.00000000000
"7",20217030.00000000000
"7",20217036.00000000000
"7",20217038.00000000000
"7",20217042.00000000000
"7",20217044.00000000000
"7",20217046.00000000000
"7",20217054.00000000000
"7",20217056.00000000000
"7",20217074.00000000000
"7",20217632.00000000000
"7",20217638.00000000000
"7",20217640.00000000000
"7",20217644.00000000000
"7",20217648.00000000000
"7",20217650.00000000000
"7",20217652.00000000000
"7",20217656.00000000000
"7",20217658.00000000000
"7",20217672.00000000000
"7",20217722.00000000000
"7",20217736.00000000000
"7",20217740.00000000000
"7",20217742.00000000000
"7",20217746.00000000000
"7",20217758.00000000000
"7",20217760.00000000000
"7",20217762.00000000000
"7",20217764.00000000000
"7",20217766.00000000000
"7",20217768.00000000000
"7",20217770.00000000000
"7",20217772.00000000000
"7",20217774.00000000000
"7",20217796.00000000000
"7",20217800.00000000000
"7",20217802.00000000000
"7",20217806.00000000000
"7",20217810.00000000000
"7",20217816.00000000000
"7",20217820.00000000000
"7",20217822.00000000000
"7",20217824.00000000000
"7",20217844.00000000000
"7",20217846.00000000000
"7",20218014.00000000000
"7",20218020.00000000000
"7",20218024.00000000000
"7",20218030.00000000000
"7",20218034.00000000000
"7",20218590.00000000000
"7",20218594.00000000000
"7",20218598.00000000000
"7",20218600.00000000000
"7",20218608.00000000000
"7",20218612.00000000000
"7",20218614.00000000000
"7",20218686.00000000000
"7",20220438.00000000000
"7",20222737.00000000000
"7",20222741.00000000000
"7",20222743.00000000000
"7",20222753.00000000000
"7",20222769.00000000000
"7",20222779.00000000000
"7",20222789.00000000000
"7",20222795.00000000000
"7",20222799.00000000000
"7",20222815.00000000000
"7",20222841.00000000000
"7",20222861.00000000000
"7",20222867.00000000000
"7",20222875.00000000000
"7",20222877.00000000000
"7",20222903.00000000000
"7",20222913.00000000000
"7",20222919.00000000000
"7",20222931.00000000000
"7",20222935.00000000000
"7",20222947.00000000000
"7",20222949.00000000000
"7",20222951.00000000000
"7",20222953.00000000000
"7",20222987.00000000000
"7",20222993.00000000000
"7",20222999.00000000000
"7",20223011.00000000000
"7",20223013.00000000000
"7",20223019.00000000000
"7",20223031.00000000000
"7",20223033.00000000000
"7",20223039.00000000000
"7",20223041.00000000000
